studyno,version,caseno,year,country,weight_g,v241,religion,abnotjust
4800,"4.0.0 (2016-04-15)",1,"2009","Great Britain",.8958804002394816,3,"No religion",8
4800,"4.0.0 (2016-04-15)",3,"2009","Great Britain",.7323928077123191,7,"No religion",4
4800,"4.0.0 (2016-04-15)",5,"2009","Great Britain",1.75475403187852,9,"No religion",2
4800,"4.0.0 (2016-04-15)",6,"2009","Great Britain",.6790205204432702,5,"No religion",6
4800,"4.0.0 (2016-04-15)",9,"2009","Great Britain",.8661983524200078,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",12,"2009","Great Britain",1.209533274992583,4,"No religion",7
4800,"4.0.0 (2016-04-15)",17,"2009","Great Britain",.6790205204432702,7,"Anglican",4
4800,"4.0.0 (2016-04-15)",22,"2009","Great Britain",1.003008025971925,8,"Catholic",3
4800,"4.0.0 (2016-04-15)",29,"2009","Great Britain",.9425397462447694,5,"Other religion",6
4800,"4.0.0 (2016-04-15)",37,"2009","Great Britain",.9425397462447694,"never","Catholic",10
4800,"4.0.0 (2016-04-15)",38,"2009","Great Britain",1.084849030222249,6,"Other religion",5
4800,"4.0.0 (2016-04-15)",40,"2009","Great Britain",1.003008025971925,"never","Other religion",10
4800,"4.0.0 (2016-04-15)",42,"2009","Great Britain",.7579958615031236,6,"No religion",5
4800,"4.0.0 (2016-04-15)",53,"2009","Great Britain",.9425397462447694,8,"No religion",3
4800,"4.0.0 (2016-04-15)",60,"2009","Great Britain",.9425397462447694,7,"No religion",4
4800,"4.0.0 (2016-04-15)",64,"2009","Great Britain",.7323928077123191,8,"Anglican",3
4800,"4.0.0 (2016-04-15)",65,"2009","Great Britain",1.040183799197067,2,"Anglican",9
4800,"4.0.0 (2016-04-15)",69,"2009","Great Britain",.8661983524200078,6,"Anglican",5
4800,"4.0.0 (2016-04-15)",76,"2009","Great Britain",1.299695014132564,2,"Other religion",9
4800,"4.0.0 (2016-04-15)",101,"2009","Great Britain",1.084849030222249,"never","No religion",10
4800,"4.0.0 (2016-04-15)",108,"2009","Great Britain",.8958804002394816,"never","Anglican",10
4800,"4.0.0 (2016-04-15)",112,"2009","Great Britain",1.003008025971925,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",120,"2009","Great Britain",1.75475403187852,"never","Other religion",10
4800,"4.0.0 (2016-04-15)",125,"2009","Great Britain",.7579958615031236,5,"No religion",6
4800,"4.0.0 (2016-04-15)",127,"2009","Great Britain",1.084849030222249,7,"Anglican",4
4800,"4.0.0 (2016-04-15)",132,"2009","Great Britain",.9425397462447694,5,"No religion",6
4800,"4.0.0 (2016-04-15)",133,"2009","Great Britain",.7859194547405713,6,"No religion",5
4800,"4.0.0 (2016-04-15)",134,"2009","Great Britain",.6790205204432702,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",139,"2009","Great Britain",.9425397462447694,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",146,"2009","Great Britain",1.209533274992583,6,"Other religion",5
4800,"4.0.0 (2016-04-15)",148,"2009","Great Britain",.7579958615031236,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",155,"2009","Great Britain",.8958804002394816,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",157,"2009","Great Britain",.6790205204432702,"never","No religion",10
4800,"4.0.0 (2016-04-15)",159,"2009","Great Britain",1.003008025971925,"never","Catholic",10
4800,"4.0.0 (2016-04-15)",160,"2009","Great Britain",.8661983524200078,5,"No religion",6
4800,"4.0.0 (2016-04-15)",219,"2009","Great Britain",.8958804002394816,2,"Catholic",9
4800,"4.0.0 (2016-04-15)",222,"2009","Great Britain",1.299695014132564,"never","Other religion",10
4800,"4.0.0 (2016-04-15)",227,"2009","Great Britain",.7579958615031236,"never","No religion",10
4800,"4.0.0 (2016-04-15)",232,"2009","Great Britain",.9425397462447694,3,"Anglican",8
4800,"4.0.0 (2016-04-15)",235,"2009","Great Britain",1.040183799197067,"never","Catholic",10
4800,"4.0.0 (2016-04-15)",239,"2009","Great Britain",.8661983524200078,"never","Catholic",10
4800,"4.0.0 (2016-04-15)",284,"2009","Great Britain",.9425397462447694,5,"Catholic",6
4800,"4.0.0 (2016-04-15)",286,"2009","Great Britain",.7859194547405713,"never","Catholic",10
4800,"4.0.0 (2016-04-15)",291,"2009","Great Britain",1.040183799197067,"never","Other religion",10
4800,"4.0.0 (2016-04-15)",292,"2009","Great Britain",1.209533274992583,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",295,"2009","Great Britain",.7323928077123191,"never","Anglican",10
4800,"4.0.0 (2016-04-15)",297,"2009","Great Britain",.9425397462447694,"always","No religion",1
4800,"4.0.0 (2016-04-15)",302,"2009","Great Britain",1.003008025971925,"always","No religion",1
4800,"4.0.0 (2016-04-15)",305,"2009","Great Britain",1.003008025971925,9,"Anglican",2
4800,"4.0.0 (2016-04-15)",307,"2009","Great Britain",.8661983524200078,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",309,"2009","Great Britain",.7859194547405713,6,"Anglican",5
4800,"4.0.0 (2016-04-15)",310,"2009","Great Britain",.9425397462447694,"always","No religion",1
4800,"4.0.0 (2016-04-15)",311,"2009","Great Britain",1.003008025971925,"always","No religion",1
4800,"4.0.0 (2016-04-15)",313,"2009","Great Britain",.7323928077123191,"never","No religion",10
4800,"4.0.0 (2016-04-15)",315,"2009","Great Britain",1.003008025971925,3,"Anglican",8
4800,"4.0.0 (2016-04-15)",316,"2009","Great Britain",1.003008025971925,6,"Catholic",5
4800,"4.0.0 (2016-04-15)",317,"2009","Great Britain",.8958804002394816,8,"Anglican",3
4800,"4.0.0 (2016-04-15)",319,"2009","Great Britain",1.084849030222249,"always","No religion",1
4800,"4.0.0 (2016-04-15)",320,"2009","Great Britain",1.299695014132564,"never","Catholic",10
4800,"4.0.0 (2016-04-15)",341,"2009","Great Britain",1.500110953084694,5,"No religion",6
4800,"4.0.0 (2016-04-15)",347,"2009","Great Britain",.7859194547405713,6,"Anglican",5
4800,"4.0.0 (2016-04-15)",357,"2009","Great Britain",1.084849030222249,"never","No religion",10
4800,"4.0.0 (2016-04-15)",371,"2009","Great Britain",1.003008025971925,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",374,"2009","Great Britain",1.299695014132564,5,"No religion",6
4800,"4.0.0 (2016-04-15)",375,"2009","Great Britain",.7323928077123191,7,"No religion",4
4800,"4.0.0 (2016-04-15)",382,"2009","Great Britain",1.209533274992583,"never","Other religion",10
4800,"4.0.0 (2016-04-15)",384,"2009","Great Britain",1.75475403187852,5,"No religion",6
4800,"4.0.0 (2016-04-15)",385,"2009","Great Britain",.6790205204432702,"never","No religion",10
4800,"4.0.0 (2016-04-15)",388,"2009","Great Britain",.7859194547405713,6,"Anglican",5
4800,"4.0.0 (2016-04-15)",389,"2009","Great Britain",1.003008025971925,5,"No religion",6
4800,"4.0.0 (2016-04-15)",391,"2009","Great Britain",1.003008025971925,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",393,"2009","Great Britain",1.209533274992583,"never","No religion",10
4800,"4.0.0 (2016-04-15)",394,"2009","Great Britain",.8958804002394816,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",396,"2009","Great Britain",1.209533274992583,5,"Other religion",6
4800,"4.0.0 (2016-04-15)",398,"2009","Great Britain",1.040183799197067,8,"Other religion",3
4800,"4.0.0 (2016-04-15)",399,"2009","Great Britain",1.299695014132564,4,"No religion",7
4800,"4.0.0 (2016-04-15)",400,"2009","Great Britain",1.500110953084694,4,"Other religion",7
4800,"4.0.0 (2016-04-15)",408,"2009","Great Britain",1.040183799197067,3,"No religion",8
4800,"4.0.0 (2016-04-15)",409,"2009","Great Britain",1.500110953084694,3,"Anglican",8
4800,"4.0.0 (2016-04-15)",410,"2009","Great Britain",.9425397462447694,5,"No religion",6
4800,"4.0.0 (2016-04-15)",426,"2009","Great Britain",.7859194547405713,"never","Catholic",10
4800,"4.0.0 (2016-04-15)",427,"2009","Great Britain",.8661983524200078,6,"Anglican",5
4800,"4.0.0 (2016-04-15)",432,"2009","Great Britain",.8661983524200078,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",435,"2009","Great Britain",1.299695014132564,6,"No religion",5
4800,"4.0.0 (2016-04-15)",437,"2009","Great Britain",.7579958615031236,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",453,"2009","Great Britain",.8661983524200078,"never","Anglican",10
4800,"4.0.0 (2016-04-15)",481,"2009","Great Britain",.9425397462447694,"never","No religion",10
4800,"4.0.0 (2016-04-15)",485,"2009","Great Britain",1.040183799197067,2,"Anglican",9
4800,"4.0.0 (2016-04-15)",486,"2009","Great Britain",1.299695014132564,5,"Catholic",6
4800,"4.0.0 (2016-04-15)",487,"2009","Great Britain",1.500110953084694,5,"Anglican",6
4800,"4.0.0 (2016-04-15)",488,"2009","Great Britain",.7859194547405713,7,"Other Christian",4
4800,"4.0.0 (2016-04-15)",495,"2009","Great Britain",.8661983524200078,3,"Anglican",8
4800,"4.0.0 (2016-04-15)",497,"2009","Great Britain",.9425397462447694,"always","No religion",1
4800,"4.0.0 (2016-04-15)",498,"2009","Great Britain",.9425397462447694,5,"No religion",6
4800,"4.0.0 (2016-04-15)",499,"2009","Great Britain",.7859194547405713,4,"No religion",7
4800,"4.0.0 (2016-04-15)",501,"2009","Great Britain",.9425397462447694,2,"Catholic",9
4800,"4.0.0 (2016-04-15)",502,"2009","Great Britain",.8661983524200078,9,"Anglican",2
4800,"4.0.0 (2016-04-15)",508,"2009","Great Britain",.7579958615031236,2,"Anglican",9
4800,"4.0.0 (2016-04-15)",510,"2009","Great Britain",1.209533274992583,"never","Other Christian",10
4800,"4.0.0 (2016-04-15)",513,"2009","Great Britain",1.003008025971925,"always","No religion",1
4800,"4.0.0 (2016-04-15)",514,"2009","Great Britain",1.299695014132564,2,"Other religion",9
4800,"4.0.0 (2016-04-15)",515,"2009","Great Britain",1.003008025971925,5,"Other religion",6
4800,"4.0.0 (2016-04-15)",517,"2009","Great Britain",1.003008025971925,"never","Other religion",10
4800,"4.0.0 (2016-04-15)",518,"2009","Great Britain",1.084849030222249,"never","Other Christian",10
4800,"4.0.0 (2016-04-15)",519,"2009","Great Britain",1.084849030222249,"never","No religion",10
4800,"4.0.0 (2016-04-15)",520,"2009","Great Britain",1.003008025971925,8,"No religion",3
4800,"4.0.0 (2016-04-15)",524,"2009","Great Britain",1.084849030222249,"never","Other religion",10
4800,"4.0.0 (2016-04-15)",525,"2009","Great Britain",1.084849030222249,3,"No religion",8
4800,"4.0.0 (2016-04-15)",526,"2009","Great Britain",1.003008025971925,"never","No religion",10
4800,"4.0.0 (2016-04-15)",527,"2009","Great Britain",.7579958615031236,5,"No religion",6
4800,"4.0.0 (2016-04-15)",542,"2009","Great Britain",.7859194547405713,"never","No religion",10
4800,"4.0.0 (2016-04-15)",543,"2009","Great Britain",1.75475403187852,3,"No religion",8
4800,"4.0.0 (2016-04-15)",545,"2009","Great Britain",1.084849030222249,4,"Anglican",7
4800,"4.0.0 (2016-04-15)",546,"2009","Great Britain",.9425397462447694,"never","No religion",10
4800,"4.0.0 (2016-04-15)",547,"2009","Great Britain",1.500110953084694,"never","Anglican",10
4800,"4.0.0 (2016-04-15)",549,"2009","Great Britain",1.084849030222249,"never","Anglican",10
4800,"4.0.0 (2016-04-15)",551,"2009","Great Britain",1.299695014132564,4,"Anglican",7
4800,"4.0.0 (2016-04-15)",552,"2009","Great Britain",1.040183799197067,4,"No religion",7
4800,"4.0.0 (2016-04-15)",554,"2009","Great Britain",1.003008025971925,5,"No religion",6
4800,"4.0.0 (2016-04-15)",555,"2009","Great Britain",1.299695014132564,"never","Anglican",10
4800,"4.0.0 (2016-04-15)",556,"2009","Great Britain",1.299695014132564,5,"No religion",6
4800,"4.0.0 (2016-04-15)",558,"2009","Great Britain",1.040183799197067,"never","No religion",10
4800,"4.0.0 (2016-04-15)",560,"2009","Great Britain",1.003008025971925,"never","No religion",10
4800,"4.0.0 (2016-04-15)",563,"2009","Great Britain",.7579958615031236,2,"No religion",9
